idx,label,CustomerID,TransactionID,TransactionDate,ProductCategory,PurchaseAmount,CustomerAgeGroup,CustomerGender,CustomerRegion,CustomerSatisfaction,RetailChannel
0,Promising,12345,TX1001,1/15/23,Electronics,349.99,25-34,Male,North,4,Online
1,Growth,12346,TX1002,1/16/23,Home Appliances,199.99,35-44,Female,West,3,Physical Store
2,Promising,12347,TX1003,1/17/23,Clothing,89.99,18-24,Male,South,5,Online
3,Decline,12348,TX1004,1/18/23,Groceries,59.99,45-54,Female,East,2,Physical Store
4,Stable,12349,TX1005,1/19/23,Books,29.99,25-34,Male,North,4,Online
5,Promising,12350,TX1006,1/20/23,Toys,129.99,25-34,Female,North,5,Online
6,Growth,12350,TX1006,1/20/23,Health & Wellness,119.99,35-44,Female,North,5,Online
7,Decline,12500,TX2001,1/22/23,Beauty Products,23.99,18-24,Female,South,1,Physical Store
8,Stable,12350,TX1006,1/20/23,Sporting Goods,23.99,25-34,Female,West,4,Online
9,Promising,12350,TX1006,2/1/23,Fashion,249.99,25-34,Female,South,5,Physical Store
10,Growth,12350,TX1006,1/20/23,Electronics,299.99,35-44,Female,West,5,Physical Store
11,Decline,12350,TX1006,1/20/23,Sporting Goods,239.99,35-44,Female,West,3,Physical Store
12,Stable,12350,TX1006,1/20/23,Health & Beauty,45.99,35-44,Female,West,4,Physical Store
13,Promising,23456,TX1006,2/10/23,Beauty & Personal Care,54.99,25-34,Female,West,5,Online
14,Growth,12350,TX1006,2/12/23,Beauty Products,219.99,25-34,Female,South,4,Physical Store
15,Promising,12351,TX1007,1/21/23,Electronics,459.99,18-24,Male,West,4,Physical Store
16,Growth,12351,TX1007,1/21/23,Sports & Outdoors,249.99,18-24,Male,South,4,Physical Store
17,Decline,12501,TX2002,1/23/23,Electronics,549.99,45-54,Male,East,1,Physical Store
18,Stable,12351,TX1007,1/21/23,Health Supplements,19.99,45-54,Male,East,5,Physical Store
19,Promising,12351,TX1007,2/2/23,Electronics,299.99,35-44,Male,North,5,Online
20,Growth,12351,TX1007,1/21/23,Home Appliances,399.99,25-34,Male,North,4,Online
21,Decline,12351,TX1007,1/21/23,Toys,199.99,25-34,Male,South,1,Online
22,Stable,12351,TX1007,1/21/23,Home & Garden,23.99,45-54,Male,South,3,Online
23,Promising,23457,TX1007,2/12/23,Toys & Games,24.99,18-24,Male,South,4,Physical Store
24,Growth,12351,TX1007,2/13/23,Sports Equipment,459.99,35-44,Male,West,5,Online
25,Promising,12352,TX1008,1/22/23,Clothing,99.99,35-44,Female,East,5,Online
26,Growth,12352,TX1008,1/22/23,Electronics,299.99,25-34,Female,West,5,Online
27,Decline,12502,TX2003,1/24/23,Clothing,59.99,25-34,Male,North,1,Online
28,Stable,12352,TX1008,1/22/23,Cosmetics,29.99,35-44,Female,South,4,Online
29,Promising,12352,TX1008,2/3/23,Home Appliances,399.99,45-54,Female,East,4,Physical Store
30,Growth,12352,TX1008,1/22/23,Furniture,199.99,45-54,Female,South,3,Physical Store
31,Decline,12352,TX1008,1/22/23,Beauty Products,129.99,55-64,Female,East,2,Physical Store
32,Stable,12352,TX1008,1/22/23,Toys & Games,35.99,18-24,Male,East,5,Physical Store
33,Promising,23458,TX1008,2/13/23,Sports & Outdoors,119.99,35-44,Female,East,3,Online
34,Growth,12352,TX1008,2/14/23,Toys,149.99,25-34,Female,East,3,Physical Store
35,Promising,12353,TX1009,1/23/23,Books,34.99,25-34,Male,South,4,Online
36,Growth,12353,TX1009,1/23/23,Home Improvement,89.99,45-54,Male,East,4,Physical Store
